approve	line	number	col	attached_to	context
Y	443	32	3	31,	31,32 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ཁྲོ་གཉེར་ཅན་སྐུ་མདོག་ཆར་སྤྲིན་ལྟར་གནག་པ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་དང་གཡོན་དཀོན་མཆོག་གསུམ་ཕྱག་རྒྱའི་སྙན་ཐད་དུ་ཨུཏྤལ་ཁ་ཕྱེ་བའི་ཟེའུ་འབྲུའི་སྟེང་ན། གཏུན་ཤིང་འཛིན་ཅིང་ཧཱུྃ་སྒྲ་སྒྲོགས་པའི་འོད་ཟེར་རྡོ་རྗེ་མེ་ཆར་འབེབས་པ་དང་། ཕྱག་དང་ཞབས་ས་ལ་བསྣུན་པ་ཡིས། དམ་ལོག་འགོང་པོ་རྒྱ་འདྲེའི་མགོ་བཀས་ཤིང་ཆོས་ཉིད་ཀྱི་ངང་དུ་བརྒྱལ་བར་བསམ་ལ་རིག་སྔགས་ཡི་གེ་བཅུ་པ་བཟླའོ། ཞེས་སོ།  ^0-142
Y	447	32	3	31,	31,32 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ས་གཞིའི་ངོས་ནི་ལྟེ་བའི་དཀྱིལ་འཁོར་ཏེ། ཤེས་རབ་སྟོང་པ་ཉིད་ཆོས་ཀྱི་དབྱིངས་ཀྱི་རང་གཟུགས་རབ་འབར་གཏུམ་མོ་ཡེ་ཤེས་ཀྱི་མེ་ཡི་ངེས་པའི་དོན་ཀྱི་ལྷ་མོའི་ཞབས་ཀྱིས་བརྡུངས་པ་དང་། མེ་ལྕེས་ཕྱག་གིས་བསྣུན་པའོ། དེའང་རིམ་པ་བདུན་ནི། དབུ་མའི་མས་སྣ་ན་ཚངས་པའི་མེ་ཙཎྜ་ལཱི་སྟེ་འོག་ནས་སྤྱི་གཙུག་བར་སྦྲུལ་ལྟར་འཁྱིལ་བ་ལན་བདུན་རབ་ཏུ་འབར་བའི་འགྲོས་ཀྱིས་གཏུམ་མོའི་མེ་འབར་བས་བྱང་ཆུབ་ཀྱི་སེམས་འབབ་ཅིང་བཞུ་བས་མེའི་གདུང་བ་ཞི་བ་དང་། དེའི་ལས་ཉོན་རྩ་མདུད་རྣམས་འགེམས་ཤིང་འཇིག་སྟེ་བཀྲོལ་བའོ། ཞེས་སོ། ^0-143
Y	451	32	3	31,	31,32 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ས་གཞི་ངོས་ནི་མ་རིག་པ་སྟེ་མ་དག་སྐབས་བག་ཆགས་སྣ་ཚོགས་པའི་ཀུན་གཞི་དང་། དག་པའི་སྐབས་གནས་ལུགས་དོན་གྱི་ཀུན་གཞི་ཆོས་ཀྱི་དབྱིངས་སོ། མཐིལ་གྱིས་བསྣུན་ཅིང་ཞབས་ཀྱིས་བརྡུངས་མ་ནི། དེའང་བླ་མ་མཚན་ཉིད་དང་ལྡན་པ་ལས། གནས་ལུགས་རྫོགས་པ་ཆེན་པོའི་གདམས་ངག་ཚང་ལ་མ་ནོར་བར་མན་ངག་མཛུབ་བཙུགས་ཀྱིས་ངོ་འཕྲོད་བླ་མ་སངས་རྒྱས་སུ་བལྟ་བའི་འགྱུར་མེད་དད་པ་ས་གཞི་ལྟ་བུས་གཞི་གཟུང་།  ^0-144
Y	471	34	3	33,	33,34 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་རབ་ཞི་མ་སྐུ་མདོག་བཅོ་ལྔའི་ཟླ་བ་ལྟར་དཀར་ཞིང་འཛུམ་པ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་ཨུཏྤལ་སྙན་ཐད་གྲོལ་བའི་ཟེའུ་འབྲུའི་དབུས་ན།  ^0-151
Y	477	34	4	,	33 ,34 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། བདེ་མ་དང་། དགེ་མ་དང་། ཞི་མ་དང་། མྱ་ངན་འདས་ཞི་ནི། རང་ལུས་དང་གཞན་ལུས་ཐབས་ལྡན་གྱིས་རྩ་་འཁོར་ལོ་བཞི་ལ་ཐིག་ལེ་དབབ་བཟུང་ལྡོག་དགྲམ་བཞི་ཡིས་གནད་དུ་བསྣུན་པས། དགའ་བ་དང་། མཆོག་དགའ་བ་དང་། དགའ་བྲལ་དང་། ལྷན་སྐྱེས་ཀྱི་དགའ་བ་སྟེ་ཟག་མེད་ཀྱི་དགའ་བ་བཞིའི་ཡེ་ཤེས་ཀྱི་ངོ་བོ་བདེ་ཆེན་ལྷན་གཅིག་སྐྱེས་པའི་ཡེ་ཤེས་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ཐབས་ལམ་གྱི་རྣལ་འབྱོར་བྱ་ཚུལ་བསྟན་པའོ། ཞེས་སོ།  ^0-153
Y	481	34	3	33,	33,34 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། རང་བྱུང་ཡེ་ཤེས་ལ་མངའ་དབང་བསྒྱུར་བ་ན། བདེ་མ་ནི་སོར་རྟོག་ཡེ་ཤེས་དང་། དགེ་མ་ནི་མེ་ལོང་ཡེ་ཤེས་དང་། ཞི་མ་ནི་མཉམ་ཉིད་ཡེ་ཤེས་དང་། མྱ་ངན་འདས་ཞི་ནི་ཆོས་དབྱིངས་ཡེ་ཤེས་དང་། སྡིག་པ་ཆེན་པོ་འཇོམས་པ་ཉིད་མ་ནི་བྱ་གྲུབ་ཡེ་ཤེས་ཏེ། ཡེ་ཤེས་ལྔའི་རང་རྩལ་རང་རིག་འཕགས་མ་སྒྲོལ་མ་མངོན་དུ་གྱུར་པས། བདག་འཛིན། བདེན་འཛིན། མཚན་འཛིན། གཉིས་འཛིན་སོགས་སྒྲིབ་པའི་སྡིག་པ་རང་ཞི་འཇོམས་པའོ། ཞེས་སོ།  ^0-154
Y	497	36	3	35,	35,36 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་བྱད་མའི་རིག་སྔགས་གཞོམ་མ་སྐུ་མདོག་དམར་མོ། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་ཨུཏྤལ་ཟེའུ་འབྲུའི་སྟེང་ན། རྡོ་རྗེ་རྒྱ་གྲམ་འཛིན་པས་དགྲ་བོ་བྱད་མའི་མཐུ་སྟོབས་ངག་ནུས་ཐམས་ཅད་ལྷག་མེད་དུ་བཤིག་པར་བསམ་ལ་རིག་སྔགས་བཟླའོ། ཞེས་སོ།  ^0-159
Y	533	38	3	37,	37,38 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་དཔག་མེད་གནོན་མ་དམར་སེར་མཚམས་སྤྲིན་གསར་པའི་མདོག་ཅན། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་ཨུཏྤལ་སྙན་ཐད་དུ་གྲོལ་བའི་ཟེའུ་འབྲུའི་དབུས་མཆོད་རྟེན་འཛིན་པ། ཐུགས་ཀའི་ཧཱུྃ་ལས་འོད་ཟེར་ཧཱུྃ་ཡིག་གྲངས་མེད་དང་། ཞབས་མཐིལ་ས་ལ་བརྡབ་པས། རི་རབ་དང་། མནྡཱ་ར་དང་། འབིགས་བྱེད་དང་། ཁམས་གསུམ་གཡོ་ཞིང་ལྡིག་པས་དྲག་ཤུལ་སྟོབས་ཀྱིས་དམིགས་བྱ་རྣམས་ཞབས་འོག་ཏུ་མནན་པར་བསམ་ལ་རིག་སྔགས་བཟླའོ། ཞེས་སོ།  ^0-172
Y	537	38	3	37,	37,38 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། རི་རབ་ནི་རྩ་་དབུ་མ་ཚངས་པའི་རུས་པ་སྒལ་ཚིགས་སོ། རི་གཞན་གཉིས་ནི་ཡིད་བཟང་མ་དང་དུང་ཅན་མ་ནི་གཡས་གཡོན་གྱི་རྩ་ཆེན་གཉིས་སོ། གཡོ་བ་ནི་བྱང་ཆུབ་སེམས་ཀྱིས་ཡོངས་སུ་གང་བའོ། འཇིག་རྟེན་གསུམ་ནི་སྟེང་འོག་གི་དབྱེ་བས་རྩ་གསུམ་གསུམ་དྲུག་གོ། ཧཱུྃ་གི་རྣམ་པའི་ས་བོན་ཉིད་ནི་ཐུགས་རྡོ་རྗེའི་རྟེན་ཟག་མེད་དྭངས་མའི་རྩ་་ཨ་ཝ་དྷུ་ཏི་སྟེ་རྩ་ཐམས་ཅད་ཀྱི་ས་བོན་ནུས་པ་དེར་ཐིམ་པའོ། ཞེས་སོ།  ^0-173
Y	541	38	3	37,	37,38 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ཏུ་རེ་ཞབས་ནི་བརྡབ་པ་ནི། བླ་མ་ལ་སངས་རྒྱས་དངོས་སུ་ལྟ་བའི་དང་འདོད་ཡིད་ཆེས་ཤུགས་དྲག་དད་མོས་ཚད་མའོ། ཧཱུྃ་གི་རྣམ་པའི་ས་བོན་ཉིད་ནི་བརྒྱུད་ལྡན་བླ་མའི་གདམས་ངག་ཚད་མས་རང་བྱུང་རིག་པའི་ཡེ་ཤེས་ཚད་མ་མངོན་དུ་གྱུར་པའོ། རི་གསུམ་དང་འཇིག་རྟེན་གསུམ་གཡོ་བ་ནི་རང་རིག་ཀློང་དུ་སྐུ་གསུམ་ལྷུན་གྲུབ་ཀྱི་ངོ་བོ་གྲོལ་ན་སྲིད་གསུམ་ངང་རྫོགས་གདོད་མའི་རྒྱལ་ས་ལ་འགོད་པར་བསྟན་པའོ། ཞེས་སོ།  ^0-174
Y	557	40	3	39,	39,40 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་རྨ་བྱ་ཆེན་མོ་སྐུ་མདོག་དཀར་པོ། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་ཨུཏྤལ་ཟེའུ་འབྲུའི་དབུས་ན།  ^0-179
Y	563	40	3	39,	39,40 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ལྷའི་མཚོ་ཡི་རྣམ་པ་ནི་རྡོ་རྗེ་ཕུང་པོའི་གྲོང་ཁྱེར་ཀྱི་ལུས་ཡིན་ལ། རི་དྭགས་རྟགས་ཅན་ནི་ལུས་དེ་ལས་བྱུང་བའི་ལྷན་ཅིག་སྐྱེས་པའི་རྟེན་ཀུནྡ་དང་བཅས་པ་ཡིན་ལ། ཕྱག་ན་བསྣམས་པ་ཐིག་ལེ་ནི་དེ་སྟོང་པ་ཉིད་དང་དབྱེར་མེད་བདེ་སྟོང་གཉིས་སུ་མེད་པའི་ངོ་བོ་འཛག་མེད་འཆིང་བའོ། ཏཱ་ར་ནི་སྒྲོལ་བའི་དོན་ཡིན་པས་ན། ལན་གཉིས་བརྗོད་པས་ཉོན་མོངས་དང་ཤེས་བྱའི་སྒྲིབ་པ་འདོད་སྲེད་རང་ག་མ་ལས་སྒྲོལ་ཞིང་། མ་དག་པའི་སྣང་བའི་ལུས་ཀྱི་རྩ་ཐིག་རླུང་གསུམ་གྱི་དུག་འཇོམས་པའོ། ཞེས་སོ།  ^0-181
Y	567	40	3	39,	39,40 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ལྷ་ཡི་མཚོ་ཡི་རྣམ་པ་ནི་གནས་ལུགས་རྫོགས་པ་ཆེན་པོའོ། རི་དྭགས་རྟགས་ཅན་ཕྱག་ན་བསྣམས་མ་ནི། གཞི་རྫོགས་པ་ཆེན་པོ་རིག་པ་རང་བྱུང་གི་ཡེ་ཤེས་བྲི་གང་འཕོ་འགྱུར་དང་བྲལ་བ་ལྷུན་གྲུབ་ཟླ་བའི་དཀྱིལ་འཁོར་ཉ་གང་བ་ནི་རི་དྭགས་རྟགས་ཅན་ཟླ་བའོ།  ^0-182
Y	587	42	3	41,	41,42 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། མི་ཕམ་གཙུག་ཏོར་གདུགས་དཀར་མོ་སྐུ་མདོག་དཀར་མོ། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་ཨུཏྤལ་ཟེའུ་འབྲུའི་སྟེང་ན་གདུགས་དཀར་པོ་འཛིན་པ་སྐུ་ལས་མེ་མཚོན་རྡོ་རྗེའི་ཚྭ་ཚྭ་སྤྲོས་པས་ཆོས་དང་སྲིད་ལ་རྒོལ་ངན་རྩོད་པ་དང་། གཞན་ཡང་བྱད་ཟོར་རྦོད་གཏོང་གི་ངག་ནུས་ཐམས་ཅད་བཅོམ་པ་དང་།  ^0-189
Y	593	42	3	41,	41,42 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ལྷའི་རྒྱལ་པོ་ནི་རྩ་དབུ་མ། ལྷ་དང་མིའམ་ཅི་ནི་རོ་རྐྱང་གཉིས། ཀུན་ནས་གོ་ཆ་ནི་རྩ་རླུང་ཐིག་ལེ་བདེ་བ་བཞི་ཟག་མེད་ཆོས་དབྱིངས་མི་ཤིགས་པའི་ཐིག་ལེ་ཆེན་པོར་སྦས་ཏེ་ཐིག་ལེ་རྩའི་ནང་དུ་སྦ། རྣམ་རྟོག་ཡེ་ཤེས་སུ་སྦ། བདེ་བ་འོད་གསལ་དུ་སྦ། འོད་གསལ་འཛིན་མེད་དུ་སྦ་བ་སྟེ་སྦས་བཞི་བསྟན། རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་མ། སྦས་བཞི་ཡོད་ན་རྩ་རླུང་ཐིག་ལེའི་གེགས་སྐྱོན་སེལ་བའོ། ཞེས་སོ།  ^0-191
Y	597	42	3	41,	41,42 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ལྷའི་ཚོགས་རྣམས་རྒྱལ་པོ་ནི་བརྒྱུད་ལྡན་བླ་མ་མཚན་ཉིད་དང་ལྡན་པས་སྤྲད་པའི་རིག་པ་ཤར་གྲོལ་ཟང་ཐལ་མའི་ངང་བཞག་གོ ལྷ་དང་། མིའམ་ཅི་ཡིས་བསྟེན་མ་ནི། བསོད་ནམས་དང་། ཡེ་ཤེས་ཀྱི་ཚོགས་གཉིས་ཆེན་པོ་ངང་རྫོགས་སོ། ཀུན་ནས་གོ་ཆ་དགའ་བས་བརྗིད་པ་ནི། ཚོགས་དྲུག་ཡུལ་དུ་གང་ཤར་གདོད་ནས་གྲོལ་བའི་ཡེ་ཤེས་སོ། རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་མ། དེ་ལྟར་ཤར་གྲོལ་ལྷུན་འབྱམས་ཆེན་པོའི་ངང་མཚན་རྟོག་ཐམས་ཅད་རང་ཞི་རང་སེལ་ཡིན་ནོ། ཞེས་སོ།  ^0-192
Y	613	44	3	43,	43,44 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་རི་ཁྲོད་ལོ་མ་གྱོན་མ་སྐུ་མདོག་དམར་སེར་གུར་ཀུམ་གྱི་མདོག་ཅན། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་།  ^0-197
Y	615	44	3	43,	43,44 གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་སྐྱབས་སྦྱིན་ཕྱག་རྒྱའི་མཐེབ་སྲིན་བར་ན་ཨུཏྤལ་ཡུ་བ་བསྣམས་པ་སྙན་ཐད་ཁ་ཕྱེ་བའི་ཟེའུ་འབྲུའི་དབུས་ན་བདུད་རྩིས་གང་བའི་ཟ་མ་ཏོག་བསྣམས་པ། ཉི་མ་ཟླ་བ་རྒྱས་པའི་སྤྱན་ལས་འབར་བའི་འོད་ཟེར་གྱིས་ནད་བདག་དང་ནད་རིམས་བསྲེག་ཅིང་གསོ་བར་བསྒོམ་ལ། ཧ་ར་གཉིས་བརྗོད་ཏུཏྟཱ་ར་ཡི་རིག་སྔགས་འདི་བཟླའོ། ཨཱོྃ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་ན་མཿཏཱ་རེ་ན་ཧ་མོ་ར་ཧཱུྃ་ཧ་ར་སྭཱ་ཧཱ། ཞེས་སོ།  ^0-198
Y	645	46	3	45,	45,46 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ལྷ་མོ་འོད་ཟེར་ཅན་མ་སྐུ་མདོག་དཀར་པོ། ཞབས་གཉིས་རྟ་བབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱ་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་སྐྱབས་སྦྱིན་ཕྱག་རྒྱའི་མཐེབ་སྲིན་བར་ན་ཨུཏྤལའི་ཡུ་བ་འཛིན་པ་སྙན་ཐད་ཨུཏྤལའི་ཟེའུ་འབྲུའི་སྟེང་ན་གསེར་ཉ་བསྣམས་པ།  ^0-208
Y	651	46	3	45,	45,46  གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། དེ་ཉིད་གསུམ་རྣམས་བཀོད་པ་ནི་ཁམས་དྲུག་ལྡན་གྱི་ལུས་འཛིན་ཅིང་ནམ་ཞིག་འཇིག་པའི་ཚེ། ཆོས་ཉིད་བར་དོའི་སྐབས་ཕྲ་བའི་སྣང་བ་སྤྱི་བོ་ནས་ཕ་ལས་ཐོབ་པའི་ཐིག་ལེ་དཀར་པོ་རོ་མ་བརྒྱུད་སྙིང་གར་མར་ཐིམ་པས་དཀར་ལམ་ཟླ་བ་ཤར་བ་ལྟ་བུའི་སྣང་བ་དང་། ལྟེ་འོག་ནས་མ་ལས་ཐོབ་པའི་ཐིག་ལེ་དམར་པོ་རྐྱང་མ་བརྒྱུད་སྙིང་གར་ཡར་ཐིམ་དམར་ལམ་མེ་ལྕེ་མཆེད་པ་ལྟ་བུ་དང་། ཁམས་དཀར་དམར་གཉིས་འདྲེས་པའི་ནང་དུ་རྣམ་ཤེས་བརྒྱལ་བས་མཁའ་ལ་སྲོད་མུན་འཁྲིགས་པ་ལྟ་བུ་ཐོབ་པའི་སྣང་བ་གསུམ་ནི་དེ་ཉིད་བཀོད་པའོ།  ^0-210
Y	657	46	3	45,	45,46 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ནི། དེ་ཉིད་གསུམ་ནི་རྒྱུ་མཚན་མ་མེད་པ་དང་། འབྲས་བུ་སྨོན་པ་མེད་པ་དང་། ངོ་བོ་སྟོང་པ་ཉིད་རིག་པ་རང་བྱུང་ཀ་དག་སྤྲོས་བྲལ་ཟང་ཐལ་ངོ་བོ་འདས་རྣམ་ཐར་སྒོ་གསུམ་གྱི་ཡིན། དེ་སོ་སོ་རང་རིག་ཡེ་ཤེས་ངོ་བོ་སྟོང་པ་ཆོས་དང་། རང་བཞིན་གསལ་བ་ལོངས་སྐུ། ཐུགས་རྗེ་འགགས་མེད་སྤྲུལ་སྐུ་སྟེ་རང་རིག་གདོད་ནས་སྐུ་གསུམ་ངོ་བོ་ཡིན་པ། ངོ་ཤེས་ནས་ཇི་བཞིན་མ་བཅོས་པའི་ངང་ལ་ཀློད་ཅིང་བཀོད་པས་ནི་སྐལ་ལྡན་གདུལ་བྱ་རྣམས་ནི་ཚེ་གཅིག་ལུས་གཅིག་གིས་གདོད་མའི་རྒྱལ་སར་འགོད་ཅིང་གཞན་དོན་ཀྱང་ཕྲིན་ལས་ལྷུན་གྲུབ་ཀྱིས་དེ་ལ་བཀོད་པའོ། ^0-212
Y	659	46	4	45,	 45,46  ཞི་བ་མཐུ་དང་ལྡན་མ་ནི། གཟུང་འཛིན་སྒྲིབ་གཉིས་ཀྱི་འཁྲུལ་སྣང་རྣམས་རང་གྲོལ་རྗེས་ཞིག་ཆེན་པོར་འཁྱག་རོམ་ཆུར་ཐིམ་ལྟར་ཞི་བའོ། དེའང་། གདོན་ནི་སྡུག་བསྔལ། རོ་ལངས་ནི་ལས་དང་། གནོད་སྦྱིན་ནི་ཉོན་མོངས་ཏེ། དེ་རྣམས་ཀྱི་མཚན་མའི་རྣམ་པར་རྟོག་པ་ཐམས་ཅད། ཏུ་རེ་མྱུར་བ། རབ་མཆོག་ཉིད་མ་ནི། གནས་ལུགས་རང་བཞིན་རྫོགས་པ་ཆེན་པོ་ནངས་རྟོགས་ན་ནངས་སངས་རྒྱས། ནུབ་རྟོགས་ན་ནུབ་སངས་རྒྱས། སྐལ་ལྡན་དབང་རྣོན་རྣམས་སྒོམ་མི་དགོས་པ་རྟོགས་གྲོལ་འཚང་རྒྱ་བ་ཏུ་རེ་དང་རབ་མཆོག་གོ། ཞེས་སོ།  ^0-213
